New format (spdx.org)	Old format (fedora, PDB, etc)
OpenSSL	OpenSSL
OSL-1.0	OSL-1.0
SUSE-OSL-1.1	OSL-1.1
OSL-2.0	OSL-2.0
OSL-3.0	OSL-3.0
PDDL-1.0	PDDL-1.0
SUSE-PHP-2.02	PHP 2.02
PHP-3.01	PHP License
PHP-3.01	PHP-3.0.1
PostgreSQL	PostgreSQL
SUSE-Public-Domain	Public domain
SUSE-Public-Domain	Public Domain
SUSE-Public-Domain	Public Domain, Freeware
SUSE-Public-Domain	Public Domain. See http://www.sentex.ca/~mw
SUSE-Python-1.6	CNRI (http://www.handle.net/python_licenses/python1.6_9-5-00.html)
Python-2.0	Python
Python-2.0	Python ..
Python-2.0	Python Copyright
Python-2.0	Python License ..
Python-2.0	Python Software Foundation License
Python-2.0	Python-2.0
QPL-1.0	QPL
QPL-1.0	QPL ..
QPL-1.0	QPL-1.0
RHeCos-1.1	RHeCos-1.1
RPL-1.5	RPL-1.5
RPSL-1.0	RPSL-1.0
RSCPL	RSCPL
Ruby	Ruby
SAX-PD	SAX-PD
IPA	see IPA_Font_License_Agreement_v1.0.txt
OFL-1.1	SIL Open Font License
OFL-1.1	SIL Open Font License 1.1
SUSE-Sendmail	Sendmail License (http://www.sendmail.org/ftp/LICENSE)
SimPL-2.0	SimPL-2.0
Sleepycat	Sleepycat
SPL-1.0	SPL-1.0
SugarCRM-1.1.3	SugarCRM-1.1.3
SUSE-TCL	License for TCL (Fedora calls this TCL too. SPDX doesn't have it)
LPPL-1.3c	TeX-License ..
Apache-2.0	The Apache Software License
PHP-3.01	The PHP License, version 3.01
VSL-1.0	VSL-1.0
W3C	W3C
W3C	W3C Software License
Watcom-1.0	Watcom-1.0
WXwindows	WXwindows
MIT	X11
MIT	X11 (BSD like)
MIT	X11 MIT
MIT	X11/MIT
XFree86-1.1	XFree86-1.1
Xnet	Xnet
YPL-1.1	YPL-1.1
Zimbra-1.3	Zimbra-1.3
Zlib	Zlib
Zlib	zlib
Zlib	Zlib License
Zlib	zlib/libpng License
ZPL-2.0	Zope Public License
ZPL-2.0	ZPL
ZPL-2.1	ZPL 2.1
ZPL-1.1	ZPL-1.1
ZPL-2.0	ZPL-2.0
ZPL-2.1	ZPL-2.1
SUSE-Firmware	Firmware license, redistributable unmodified
SUSE-Permissive	Must not be copyleft. Must not contain patent clauses of any nature. Most not limit ability to copy, modifiy, distribute (through multiple tiers of distribution) and distribute modified versions. Must not impose obligations such as 'advertising clauses' or anything that could be viewed as an 'additional restriction' under GPL-2.0+ or GPL-3.0+. Must not impose obligations such as modification by patch only, or reciprocal clauses.
Artistic-1.0 or GPL-1.0+	Perl License
SUSE-NonFree	NonFree licenses
SUSE-Liberation	LiberationFontsLicense (Fedora calls this the Liberation license - it will be easier to get it upstream if we adopt that)
